25RmA,25RVolts,25RCapacity,25RmW,25RmWh
-19997,3570,88.88,71389.29,317.286
-19997,3470,261.07,69389.59,921.156
-19997,3417,427.71,68329.749,1494.391
-19998,3370,588.8,67393.26,2040.734
-19997,3323,755.45,66450.031,2598.221
-19997,3276,922.09,65510.172,3147.785
-19997,3225,1094.28,64490.325,3707.325
-19997,3182,1255.37,63630.454,4223.086
-19997,3137,1427.57,62730.589,4766.779
-19997,3098,1594.21,61950.706,5285.975
-19997,3060,1755.3,61190.82,5781.582
-19997,3013,1927.5,60250.961,6304.205
-19997,2950,2094.14,58991.15,6801.045
-19997,2838,2255.23,56751.486,7267.341
