,25R-20ATime,25R-20AVolts,25R-20AAmps,25R-20ACapacity,25R-20ATemp,2-20ATime,2-20AVolts,2-20AAmps,2-20ACapacity,2-20ATemp,HE2-20ATime,HE2-20AVolts,HE2-20AAmps,HE2-20ACapacity,HE2-20ATemp
1,0.003,3.468,-19.999,0.001,25.938,0,3.126,-19.999,0,23.5,0,3.468,-19.999,0,27.313
2,0.169,3.361,-19.999,0.056,25.875,0.17,3.008,-20,0.057,23.563,0.003,3.458,-19.999,0.001,27.313
3,0.335,3.302,-19.999,0.112,25.938,0.335,2.934,-19.999,0.112,23.625,0.163,3.337,-19.999,0.054,27.25
4,0.502,3.265,-19.999,0.167,26.063,0.501,2.884,-19.999,0.167,23.75,0.169,3.333,-19.999,0.056,27.25
5,0.667,3.239,-19.999,0.222,26.313,0.667,2.846,-20,0.222,24,0.335,3.268,-19.999,0.112,27.313
6,0.836,3.215,-19.999,0.279,26.563,0.836,2.814,-19.999,0.279,24.438,0.501,3.228,-19.999,0.167,27.25
7,1.002,3.195,-20,0.334,26.875,1.002,2.794,-19.999,0.334,24.813,0.667,3.196,-19.999,0.222,27.313
8,1.168,3.176,-19.999,0.389,27.188,1.168,2.776,-19.999,0.389,25.313,0.836,3.171,-19.999,0.279,27.313
9,1.334,3.156,-20,0.445,27.5,1.334,2.755,-20,0.445,25.813,1.002,3.147,-19.999,0.334,27.25
10,1.503,3.139,-19.999,0.501,28,1.503,2.739,-19.999,0.501,26.375,1.168,3.126,-19.999,0.389,27.25
11,1.669,3.123,-19.999,0.556,28.438,1.669,2.724,-19.999,0.556,26.938,1.334,3.11,-19.999,0.445,27.25
12,1.835,3.108,-19.999,0.612,28.875,1.835,2.711,-19.999,0.612,27.5,1.503,3.091,-19.999,0.501,27.188
13,2,3.091,-19.999,0.667,29.313,2.001,2.702,-19.937,0.667,28.188,1.669,3.076,-19.999,0.556,27.188
14,2.17,3.078,-20,0.723,29.75,2.171,2.693,-19.879,0.723,29,1.835,3.062,-19.999,0.612,27.25
15,2.336,3.063,-19.999,0.779,30.25,2.336,2.687,-19.818,0.778,29.688,2,3.045,-19.999,0.667,27.25
16,2.502,3.049,-20,0.834,30.875,2.502,2.681,-19.772,0.833,30.438,2.17,3.03,-19.999,0.723,27.25
17,2.668,3.038,-19.999,0.889,31.625,2.668,2.676,-19.715,0.887,31.125,2.336,3.016,-19.999,0.779,27.188
18,2.834,3.025,-19.999,0.944,32.375,2.834,2.67,-19.652,0.942,31.813,2.502,3.004,-19.999,0.834,27.25
19,3.003,3.01,-19.999,1.001,32.938,3.003,2.665,-19.588,0.997,32.625,2.668,2.992,-19.999,0.889,27.25
20,3.169,2.997,-19.999,1.056,33.375,3.169,2.661,-19.525,1.051,33.438,2.834,2.979,-19.999,0.944,27.25
21,3.335,2.984,-19.999,1.112,33.813,3.335,2.656,-19.461,1.105,34.375,3.003,2.968,-19.999,1.001,27.25
22,3.501,2.971,-19.999,1.167,34.375,3.501,2.652,-19.392,1.159,35.188,3.168,2.956,-19.999,1.056,27.25
23,3.67,2.958,-19.999,1.223,35,3.67,2.645,-19.315,1.213,35.938,3.335,2.944,-19.999,1.111,27.25
24,3.836,2.945,-19.999,1.279,35.375,3.836,2.641,-19.25,1.267,36.688,3.5,2.932,-19.999,1.167,27.25
25,4.002,2.934,-19.999,1.334,35.813,4.001,2.635,-19.181,1.32,37.25,3.67,2.921,-19.999,1.223,27.25
26,4.168,2.921,-19.999,1.389,36.25,4.167,2.632,-19.11,1.373,37.813,3.836,2.908,-19.999,1.278,27.25
27,4.333,2.908,-19.999,1.444,36.75,4.333,2.626,-19.043,1.425,38.313,4.001,2.897,-19.999,1.334,27.188
28,4.502,2.896,-19.999,1.501,37.313,4.503,2.621,-18.971,1.479,38.688,4.167,2.884,-19.999,1.389,27.25
29,4.669,2.881,-19.999,1.556,38.063,4.669,2.615,-18.901,1.531,39.25,4.337,2.866,-19.999,1.445,27.25
30,4.835,2.864,-19.999,1.611,38.813,4.835,2.609,-18.827,1.584,39.625,4.502,2.846,-19.999,1.501,27.25
31,5,2.846,-19.999,1.667,39.563,5,2.604,-18.748,1.635,40.125,4.668,2.818,-19.999,1.556,27.25
32,5.17,2.82,-19.999,1.723,40.188,5.169,2.598,-18.667,1.688,40.875,4.817,2.792,-19.894,1.606,27.25
33,5.329,2.792,-19.899,1.776,40.625,5.336,2.593,-18.577,1.74,41.563,4.834,2.789,-19.858,1.611,27.25
34,5.336,2.792,-19.887,1.778,40.688,5.501,2.586,-18.479,1.791,42.188,4.886,2.781,-19.747,1.628,27.25
35,5.387,2.785,-19.776,1.795,40.813,5.647,2.578,-18.376,1.836,42.688,4.929,2.774,-19.641,1.642,27.25
36,5.43,2.777,-19.67,1.81,40.938,5.667,2.576,-18.356,1.842,42.75,4.975,2.765,-19.531,1.657,27.25
37,5.474,2.766,-19.557,1.824,41,5.799,2.569,-18.252,1.882,43.188,5.002,2.759,-19.461,1.666,27.25
38,5.501,2.763,-19.498,1.833,41.188,5.836,2.565,-18.214,1.893,43.313,5.029,2.755,-19.337,1.675,27.25
39,5.539,2.755,-19.384,1.845,41.25,5.938,2.56,-18.113,1.924,43.563,5.042,2.755,-19.059,1.679,27.25
40,5.555,2.753,-19.253,1.85,41.313,6.002,2.554,-18.041,1.944,43.688,5.046,2.763,-18.805,1.68,27.25
41,5.559,2.753,-19.082,1.851,41.313,6.087,2.547,-17.937,1.969,43.875,5.052,2.766,-18.625,1.682,27.25
42,5.566,2.759,-18.807,1.854,41.375,6.165,2.538,-17.829,1.992,44.125,5.059,2.768,-18.488,1.684,27.25
43,5.572,2.763,-18.605,1.856,41.375,6.168,2.538,-17.829,1.993,44.125,5.063,2.77,-18.376,1.685,27.25
44,5.576,2.766,-18.451,1.857,41.375,6.233,2.53,-17.729,2.012,44.25,5.076,2.776,-18.233,1.69,27.25
45,5.583,2.77,-18.335,1.859,41.375,6.294,2.523,-17.629,2.03,44.375,5.093,2.777,-18.091,1.695,27.25
46,5.593,2.776,-18.182,1.862,41.375,6.334,2.519,-17.562,2.042,44.563,5.11,2.777,-17.971,1.7,27.25
47,5.61,2.777,-18.055,1.867,41.375,6.392,2.512,-17.459,2.059,44.688,5.127,2.777,-17.845,1.705,27.25
48,5.634,2.777,-17.923,1.874,41.438,6.446,2.504,-17.351,2.075,44.813,5.144,2.777,-17.713,1.71,27.313
49,5.65,2.777,-17.814,1.879,41.438,,,,,,5.161,2.777,-17.601,1.715,27.313
50,5.667,2.777,-17.696,1.884,41.563,,,,,,5.168,2.777,-17.557,1.717,27.313
51,5.684,2.777,-17.56,1.889,41.563,,,,,,5.181,2.777,-17.445,1.721,27.188
52,5.694,2.777,-17.455,1.892,41.563,,,,,,5.198,2.777,-17.312,1.726,27.188
53,5.708,2.776,-17.349,1.896,41.625,,,,,,,,,,
